,ProtocolNum,ProductName,FullTitle,ProtocolPhase,ProtocolStatus,TA,PlannedEnrollment,ActualEnrollment,ActualScreened,ActualRescreened,ActualScreenFailure,ActualRandomizedDosed,ActualEarlyTerminated,PercEnrollmentCompleted,PlannedSites,ActiveSites,LegacyCompany,CRO,PlannedPrimaryStudy_CompletionDate,ActualPrimaryStudy_CompletionDate,SynopsisActualDate,Protocol_ActualDate,FirstSiteActivated_ActualDate,FSS_ActualDate,FSI_ActualDate,FSFV_ActualDate,LSI_ActualDate,LSI_AvgTx_ActualDate,LSO_ActualDate,LSO_2_ActualDate,LSO_3_ActualDate,LSO_4_ActualDate,LSO_Final_ActualDate,DBL_ActualDate,DBL_2_ActualDate,DBL_3_ActualDate,DBL_4_ActualDate,DBL_Final_ActualDate,CloseOut,numValsLSO,numValsDBL,PrimaryStudy_to_Synopsis,Synopsis_to_Protocol,Protocol_to_FirstSiteActivated,FirstSiteActivated_to_FSS,FSS_to_FSI,FSI_to_FSFV,FSFV_to_LSI,LSI_to_LSIAvgTxL,LSI_to_LSO
524,C16006,Ninlaro,"An Open-Label, Dose-Escalation, Phase 1/2 Study of the Oral Form of MLN9708, a  Next-Generation Proteasome Inhibitor, Administered in Combination With a Standard  Care Regimen  of Melphalan and Prednisone in Patients With Newly Diagnosed  Multiple Myeloma Requiring Systemic Treatment",II,Closed,Oncology,61,61,0,0,0,0,27,100.00%,31,0,0,PPD,0,,,2010-12-22,,,2011-06-27,,2014-05-19,2015-10-19,2016-12-29,,,,,2017-05-03,,,,,125,5,5,,,,,,,,518,955
525,C16007,Ninlaro,"An Open-Label, Dose-Escalation, Phase 1 Study of the Oral Formulation of MLN9708 Administered Weekly in Adult Patients With Relapsed or Refractory Light-Chain (AL) Amyloidosis Who Require Further Treatment",I,Closed,Oncology,32,27,41,0,14,0,0,84.38%,10,0,0,ICON,0,,,2010-08-31,,,2011-05-19,,2012-12-06,2013-08-01,2013-12-06,,,,2018-11-13,2014-02-12,,,,2018-12-06,68,5,5,,,,,,,,238,365
526,C16008,Ninlaro,"An Open-Label, Dose-Escalation, Phase 1/2 Study of the Oral Formulation of MLN9708 Administered Twice-weekly in Combination with Lenalidomide and Dexamethasone in Patients With Newly Diagnosed Multiple Myeloma Requiring Systemic Treatment",II,Closed,Oncology,60,64,0,0,0,0,54,106.67%,19,0,0,PPD,0,,,2011-02-28,,,2011-11-07,,2012-10-15,2013-10-14,2013-10-14,,,,2017-11-27,2014-02-28,,,,2017-12-19,137,5,5,,,,,,,,364,364
527,C15002,pevonedistat (TAK-924),"An Open-Label, Dose Escalation, Phase 1 Study of MLN4924, a Novel Inhibitor of Nedd8-Activating Enzyme, in Adult Patients with Lymphoma or Multiple Myeloma",I,Closed,Oncology,99,56,58,0,1,0,0,56.57%,14,1,0,PPD,0,,,2008-02-05,,,2008-06-30,,2013-04-02,2013-07-15,2013-07-15,,,,,2013-09-30,,,,,77,5,5,,,,,,,,104,104
528,C15001,pevonedistat (TAK-924),"An Open-Label, Dose Escalation, Phase 1 Study of MLN4924, a Novel Inhibitor of Nedd8-Activating Enzyme, in Adult Patients with Nonhematologic Malignancies",I,Closed,Oncology,89,62,62,0,0,0,1,69.66%,6,1,0,PPD,0,,,2007-12-11,,,2008-04-28,,2011-11-16,2012-02-15,2012-02-15,,,,,2012-03-16,,,,,30,5,5,,,,,,,,91,91
529,C15003,pevonedistat (TAK-924),"An Open-Label, Dose Escalation, Phase 1 Study of MLN4924, a Novel Inhibitor of Nedd8-Activating Enzyme, in Adult Patients with Acute Myelogenous Leukemia, Myelodysplastic Syndrome, and Acute Lymphoblastic Leukemia",I,Closed,Oncology,72,72,79,0,7,0,3,100.00%,10,0,0,PPD,0,,,2009-04-13,,,2009-07-27,,2013-02-21,2013-08-25,2013-08-25,,,,,2013-10-28,,,,,64,5,5,,,,,,,,185,185
530,C15005,pevonedistat (TAK-924),"A Phase 1 , Open-Label, Dose- Escalation Study of MLN4924, a Novel Inhibiotr of Nedd8-Activating Enzyme, in Adult Patients with Melanoma",I,Closed,Oncology,66,37,37,0,0,0,3,56.06%,3,1,0,PPD,0,,,2009-09-15,,,2009-12-07,,2012-01-31,2012-05-22,2012-05-22,,,,,2012-08-17,,,,,87,5,5,,,,,,,,112,112
533,C25002,ADCETRIS,A Phase 1/2 Study of Brentuximab Vedotin (SGN-35) in Pediatric Patients With Relapsed or Refractory Systemic Anaplastic Large-Cell Lymphoma or Hodgkin Lymphoma,II,Closed,Oncology,42,36,40,0,5,0,0,85.71%,24,5,0,ICON,0,,,2011-07-11,,,2012-04-16,,2016-04-12,2016-10-12,2016-10-12,,,,2018-04-12,2016-12-03,,,,2018-05-02,52,5,5,,,,,,,,183,183
537,C25003,ADCETRIS,"A Randomized, Open-label, Phase 3 Trial of A+AVD versus ABVD as Frontline Therapy in Patients with Advanced Classical Hodgkin Lymphoma",III,Recruitment Complete,Oncology,23,"1,309",1546,0,236,0,0,5691.30%,258,223,0,ICON,0,,,2012-08-03,,,2012-11-19,,2016-01-13,2016-07-14,2017-04-20,,,,,2017-06-12,,,,,53,5,5,,,,,,,,183,463
538,C16010,Ninlaro,"A Phase 3, Randomized, Double-Blind, Multicenter Study Comparing Oral MLN9708 Plus Lenalidomide and Dexamethasone versus Placebo Plus Lenalidomide and Dexamethasone in Adult Patients with Relapsed and/or Refractory Multiple Myeloma",III,Recruitment Complete,Oncology,41,838,1066,0,228,838,0,2043.90%,150,114,0,PPD,0,,,2012-02-21,,2012-08-13,2012-08-28,,2014-05-27,2015-12-27,2014-10-30,2017-11-13,2020-09-28,,,2015-01-15,2018-01-14,2020-11-06,,,77,5,5,,,,,15,,,579,156
540,C14012,Alisertib,"A Phase 3, Randomized, Two-Arm, Open-Label, Multicenter, International Trial of Alisertib (MLN8237) or Investigator’s Choice (Selected Single Agent) in Patients With Relapsed or Refractory Peripheral T-Cell Lymphoma",III,Closed,Oncology,354,155,3,0,62,274,0,43.79%,180,1,0,IQVIA,0,,,2011-07-25,,,2012-06-11,,2014-11-05,2015-06-30,2015-06-30,,,,,2015-09-15,,,,,77,5,5,,,,,,,,237,237
544,C27001,relugolix,"A Phase 1, Randomized, Double-Blind, Placebo-Controlled, Single and Multiple Dose, Inpatient and Outpatient Study in Healthy Men to Evaluate the Safety, Tolerability, Pharmacokinetics, and Efficacy for Testosterone Lowering of TAK-385, an Oral Gonadotropin-Releasing Hormone (GnRH) Antagonist",I,Closed,Oncology,218,176,0,0,0,0,5,80.73%,2,0,0,Hammersmith Medicines Research,0,,,2011-09-29,,,2011-10-17,,2012-09-28,2012-12-18,2012-12-18,,,,,2013-01-17,,,,,30,5,5,,,,,,,,81,81
545,TAK-390MR_206,0,"A Phase 2 Open-Label, Multicenter, 4-Week Study to Assess the Safety and Effectiveness of Daily Oral Administration of Dexlansoprazole Delayed-Release Capsules for Relief of Heartburn, in Adolescent Subjects Aged 12 to 17 Years With Symptomatic Non-Erosive Gastroesophageal Reflux Disease",II,Closed,NonCore,104,0,0,0,0,0,0,0.00%,56,0,0,IQVIA,0,,2011-06-06,2012-02-09,,,2012-07-27,,2013-12-10,,2014-01-21,,,,,2014-03-13,,,,,51,5,5,,248,,,,,,,42
566,TBD-18831,relugolix,BA Study,I,Terminated,Oncology,50,0,0,0,0,0,0,0,1,0,0,TBD,0,,,2015-01-22,,,2015-03-24,,2015-03-24,2015-05-17,2015-05-17,,,,,2015-06-15,,,,,29,5,5,,,,,,,,54,54
578,TAK-931-1002,TAK-931,"An Open-Label, Phase 1, Dose-Escalation Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of TAK-931, a Cell Division Cycle 7 (CDC7) Inhibitor, in Adult Patients With Advanced Nonhematologic Tumors",I,All Activities Closed,Oncology,80,80,100,0,20,0,80,100.00%,2,0,0,PPD,0,,2015-11-17,2015-12-14,,,2016-03-30,,2019-08-06,2019-12-21,2019-12-20,,,,,2020-04-06,,,,,108,5,5,,27,,,,,,137,136
579,TAK-931-1003,TAK-931,TAK-931-1003 RBA-FE-PPI,I,All Activities Closed,Oncology,44,21,31,0,10,21,21,47.73%,4,0,0,PRA,0,,2018-05-07,2018-06-27,,,2019-04-10,,2019-08-05,2019-12-03,2019-12-03,,,,,2020-04-07,,,,,126,5,5,,51,,,,,,120,120
580,TAK-931-2001,TAK-931,Phase 2 Single Agent (88 pts),II,Reported,Oncology,142,101,126,0,25,0,101,71.13%,15,0,0,PRA,0,,2017-03-16,2017-07-14,,,2017-11-01,,2019-10-09,2020-08-24,2020-08-24,,,,,2020-11-06,,,,,74,5,5,,120,,,,,,320,320
597,C16047,Ninlaro,Ph 2 I-Dara Maintenance,II,Recruitment Complete,Oncology,60,61,97,0,36,0,43,101.67%,25,35,0,PRA,0,,2017-09-15,2017-11-30,,,2018-08-03,,2019-07-31,2020-01-31,2020-01-31,,,,,2020-03-17,,,,,46,5,5,,76,,,,,,184,184
602,C31008,sapanisertib,JNA PK/Safety SA and Combo w,I,Reported,Oncology,46,28,0,0,6,0,0,60.87%,4,0,0,IQVIA,0,,2017-04-06,2017-08-02,,,2018-01-31,,2019-04-19,2019-08-28,2019-08-28,,,,,2019-10-24,,,,,57,5,5,,118,,,,,,131,131
606,C34004,TAK-659,C34004 Phase 2 Single Agent (R/R DLBCL) (82 pts),II,Completed,Oncology,122,49,84,0,35,0,45,40.16%,50,0,0,PRA,0,,2016-03-18,2017-03-01,,,2017-10-23,,2018-08-02,2019-01-31,2019-01-31,,,,2020-03-20,2019-04-11,,,,2020-04-21,70,5,5,,348,,,,,,182,182
608,C34003,TAK-659,A Phase 1b Study to Evaluate TAK-659 in Combination With Nivolumab in Patients With Advanced Solid Tumors,II,Closed,Oncology,48,41,64,0,23,0,41,85.42%,25,1,0,PRA,0,,2015-12-14,2016-04-06,,,2016-08-25,,2018-07-25,2018-10-15,2018-10-15,,,,,2019-05-07,,,,,204,5,5,,114,,,,,,82,82
609,C34005,TAK-659,C34005 Phase 1b Multi-Arm Combo study (100pts),II,Recruitment Complete,Oncology,55,43,70,0,27,0,0,78.18%,15,0,0,PRA,0,,2016-03-31,2016-06-07,,,2017-06-15,,2018-11-20,2020-07-27,2020-07-27,,,,,2020-09-04,,,,,39,5,5,,68,,,,,,615,615
630,C25010,ADCETRIS,"A Phase 2, Single-Arm, Open-label
Study of Brentuximab Vedotin in Chinese Patients With
Relapsed/Refractory CD30-Positive Hodgkin Lymphoma
(HL) or Systemic Anaplastic Large Cell Lymphoma
(sALCL)",II,Reported,Oncology,30,39,43,0,4,39,39,130.00%,9,0,0,IQVIA,0,,,2016-04-21,,2016-11-07,2016-11-23,,2017-07-25,2018-07-03,2018-08-02,,,,2020-02-03,2018-09-12,,,,2020-06-26,41,5,5,,,,,16,,,343,373
657,Pevonedistat-1014,pevonedistat (TAK-924),Evaluation of Effects of Pevonedistat on the QTc Interval in Patients with Advanced Solid Tumors,I,Recruitment Complete,Oncology,45,44,68,0,24,0,3,97.78%,8,6,0,PRA,0,,,2017-06-29,,,2018-03-13,,2018-12-17,2019-05-16,2019-01-07,,,,2021-06-21,2019-05-06,,,,,-777,5,5,,,,,,,,150,21
660,Pevonedistat-1013,pevonedistat (TAK-924),Human ADME Study,I,Closed,Oncology,8,8,13,0,5,0,1,100.00%,2,0,0,PRA,0,,,2016-11-29,,,2017-05-25,,2018-02-01,2018-07-02,2018-02-09,,,,2018-11-05,2018-04-09,,,,2018-12-10,59,5,5,,,,,,,,151,8
674,Leuprorelin-4001,LEUPLIN (leuprorelin acetate),"An Open label, Multicenter Study to Assess the Safety and Efficacy of Leuprorelin in the Treatment of Central Preccocious Puberty",IV,Closed,NonCore,300,307,340,0,33,0,23,102.33%,12,0,0,Hangzhou Tigermed Consulting,0,,2015-01-06,2014-11-03,,2015-07-28,2015-08-11,,2016-12-30,,2018-11-19,,,,,2019-01-17,,,,,59,5,5,,-64,,,14,,,,689
675,TAK-390MR-1001,"DEXILANT (dexlansoprazole, MR)","A Phase 1, Randomized, Open-Label, Single-Center, Single-Dose, Two-Period Two Part Crossover Study to Compare the Bioavailability of Dexlansoprazole from Dexlansoprazole Delayed Release Capsules 30 mg and 60 mg Manufactured by Takeda Oranienburg Relative to Reference Dexlansoprazole Delayed Release Capsules 30 mg and 60 mg Manufactured by Takeda Osaka in Healthy Subjects",I,Closed,NonCore,104,116,218,0,100,0,16,111.54%,1,0,0,PRA,0,,2016-03-16,2016-10-31,,2017-04-24,2017-05-20,,2017-06-24,,2017-07-14,,,,,2017-08-16,,,,,33,5,5,,229,,,26,,,,20
679,TAK-041-1001,TAK-041,"A Randomized, Double-Blind, Placebo-Controlled, Phase 1, Ascending Oral Single and Multiple Dose Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of TAK-041 in Healthy Subjects",I,All Activities Closed,NS,114,114,380,0,276,0,3,100.00%,1,1,0,PPD,0,,2016-10-31,2016-04-01,,2016-05-09,2016-06-27,,2019-07-09,,2019-09-22,,,,,2019-11-14,,,,,53,5,5,,-213,,,49,,,,75
683,C31006,sapanisertib,An Open-Label Phase 2 Study of MLN0128 (A TORC1/2 Inhibitor) in Combination With Fulvestrant in Women With ER-Positive/HER2-Negative Advanced or Metastatic Breast Cancer That Has Progressed During or After Aromatase Inhibitor Therapy,II,Recruitment Complete,Oncology,141,141,191,0,50,0,141,100.00%,55,0,0,GEICAM,0,,2015-07-22,2016-02-10,,,2016-08-12,,2018-05-14,2019-01-31,2019-11-29,,,,,2020-04-06,,,,,129,5,5,,203,,,,,,262,564
684,Vortioxetine-4001,Trintellix (vortioxetine),"A Randomized, Double-Blind, Parallel Group, Placebo- and Active-Controlled, Phase 4 Study Evaluating the Effect of Vortioxetine 10 and 20 mg/day vs. Paroxetine 20 mg/day on Sexual Functioning in Healthy Subjects",IV,Closed,NS,352,361,591,0,230,0,67,102.56%,16,0,0,IQVIA,0,,2016-02-16,2016-07-13,,2016-11-21,2016-12-06,,2017-04-24,,2017-06-09,,,,,2017-07-31,,,,,52,5,5,,148,,,15,,,,46
693,Vedolizumab-1015,Entyvio,"An open-label, dose-finding study of vedolizumab intravenous (IV) vedolizumab plus standard of care for graft-versus-host disease (GvHD) prophylaxis in patients undergoing allogeneic hematopoietic stem cell transplantation (HSCT)",II,Closed,GI,24,24,31,0,7,0,6,100.00%,4,0,0,PRA,0,,2015-10-06,2015-12-09,,,2016-06-29,,2017-06-22,,2018-07-10,,,,,2018-08-29,,,,,50,5,5,,64,,,,,,,383
694,Vedolizumab-1014,Entyvio,"Open-Label, Single-Center, Phase 1 Study to Determine the Pharmacokinetics of Single Intravenous Dose of Vedolizumab 300 mg in Healthy Adult Chinese Subjects",I,Closed,GI,16,16,92,0,76,0,0,100.00%,1,0,0,PRA,0,,2015-03-20,2015-07-10,,2018-03-05,2018-03-20,,2018-03-22,,2018-07-26,,,,,2018-11-14,,,,,111,5,5,,112,,,15,,,,126
696,Vedolizumab-3034,Entyvio,A Phase 3 Study to Examine the Efficacy and Safety of Intravenous Vedolizumab (300 mg) Infusion Treatment in Chinese Patients with Moderately to Severely Active Crohn’s Disease Protocol,III,Recruitment Complete,GI,204,215,346,0,131,215,108,105.39%,30,0,0,IQVIA,0,,2015-03-19,2015-07-08,,2017-08-03,2017-08-24,,2018-12-20,,2019-02-28,,,,,2019-06-13,,,,,105,5,5,,111,,,21,,,,70
699,TAK-071-1001,TAK-071,"A Phase 1 Safety, Tolerability, and Pharmacokinetic Study of Escalating Single and Multiple Oral Doses of TAK-071 in Healthy Subjects and Subjects With Mild Cognitive Impairment Mild Alzheimer Disease and Relative Bioavailability and Food Effect of TAK-071 in Healthy Subjects",I,Terminated,NS,186,177,363,0,184,0,1,95.16%,1,1,0,PPD,0,,2015-11-30,2016-04-06,,2016-05-05,2016-05-18,,2017-05-24,,2017-06-08,,,,,2017-08-14,,,,,67,5,5,,128,,,13,,,,15
705,TAK-906-1003,TAK-906,"A Fixed Sequence, Open-Label, 2-Period, Crossover Study to Evaluate the Effect of the Potent CYP3A4 Inhibitor Itraconazole on the Single-Dose Pharmacokinetics of Oral TAK 906 in Healthy Adult Subjects.",I,Closed,GI,12,12,39,0,23,0,1,100.00%,1,0,0,PRA,0,,2017-02-22,2017-03-21,,2017-06-05,2017-06-23,,2017-06-23,,2017-07-11,,,,,2017-08-18,,,,,38,5,5,,27,,,18,,,,18
707,Pevonedistat-1015,pevonedistat (TAK-924),DDI Study,I,Reported,Oncology,20,20,26,0,6,0,20,100.00%,4,0,0,PRA,0,,,2017-11-29,,,2018-08-27,,2019-04-29,,2019-05-10,,,,2020-04-29,2019-07-16,,,,2020-09-04,67,5,5,,,,,,,,,11
711,TAK-906-1007,TAK-906,ADME Study of TAK-906,I,Completed,GI,6,6,19,0,0,0,0,100.00%,1,0,0,Celerion,0,,2020-03-09,2020-04-03,,2020-06-17,2020-07-30,,2020-09-01,,2020-09-29,,,,,2020-10-30,,,,,31,5,5,,25,,,43,,,,28
718,TAK-906-1006,TAK-906,Phase 1.6 DDI PPI,I,Closed,GI,12,12,12,0,0,0,0,100.00%,1,0,0,Celerion,0,,2018-12-13,2019-02-07,,2019-02-27,2019-03-13,,2019-03-20,,2019-03-30,,,,,2019-05-04,,,,,35,5,5,,56,,,14,,,,10
721,TAK-954-2003,TAK-954,"Effect of TAK-954, a selective 5-HT4 receptor agonist on gastrointestinal and colonic transit and pharmacokinetics in patients with diabetic or idiopathic gastroparesis and previously documented delay in stomach emptying.",II,Closed,GI,48,36,44,0,9,37,2,75.00%,1,0,0,PRA,0,,2017-04-28,2017-08-02,,2018-01-02,2018-01-06,,2019-06-04,,2019-07-12,,,,,2019-08-27,,,,,46,5,5,,96,,,4,,,,38
722,AP26113-11-101,Alunbrig,"101 Ph1/2 Safety, PK, Tolerability",II,All Activities Closed,Oncology,137,137,171,0,34,0,45,100.00%,10,0,0,TBD,0,,,2011-06-27,,,2011-09-20,,2014-07-08,2019-06-12,2020-02-11,,,,,2020-07-29,,,,,169,5,5,,,,,,,,1800,2044
723,AP26113-13-201,Alunbrig,"ALTA Ph2 Multicenter, Randomized Study",II,Closed,Oncology,222,222,269,0,47,0,167,100.00%,80,0,0,PRA,0,,2013-06-27,2013-06-27,,,2014-06-09,,2015-09-21,,2016-11-14,,,,2020-02-27,2016-12-23,,,,2020-06-05,39,5,5,,0,,,,,,,420
724,AP32788-15-101,Mobocertinib (TAK-788),Ph 1/2 Safety/PK,II,Recruiting,Oncology,336,226,276,0,51,186,183,67.26%,95,28,0,PRA,0,,,2015-11-21,,,2016-06-16,,,,2020-05-29,2020-11-01,,,,2020-09-04,2021-01-08,,,,98,5,5,,,,,,,,,
726,AP26113-15-107,Alunbrig,107 Hepatic Impairment,I,Closed,Oncology,1,0,0,0,0,0,0,0.00%,1,0,0,INC Research,0,,,2016-02-27,,,2016-05-19,,2016-11-26,2016-12-04,2016-12-04,,,,,2017-06-26,,,,,204,5,5,,,,,,,,8,8
728,AP26113-15-108,Alunbrig,108 Renal Impairment,I,Closed,Oncology,1,0,0,0,0,0,0,0.00%,1,0,0,INC Research,0,,,2016-02-27,,,2016-05-26,,2016-10-27,2016-11-03,2016-11-03,,,,,2017-06-26,,,,,235,5,5,,,,,,,,7,7
729,AP26113-13-301,Alunbrig,ALTA-1L Ph3 Brigatinib vs Crizotinib,III,Completed,Oncology,270,275,311,0,36,45,126,101.85%,150,18,0,PRA Health Sciences,0,,,2015-10-22,,,2016-06-09,,2017-08-15,2020-05-19,2018-02-19,2019-06-28,,,2020-12-21,2018-06-21,2019-09-21,,,2021-03-02,122,5,5,,,,,,,,1008,188
730,Brigatinib-2001,Alunbrig,"A Single-arm, Multi-center, Phase 2 Study of Brigatinib in Japanese  Patients with ALK-positive, Non-Small Cell Lung Cancer (NSCLC)",II,Reported,Oncology,80,72,79,0,7,0,45,90.00%,1,0,0,TBD,0,,2017-06-23,2017-11-02,,,2018-02-21,,2019-04-12,,2019-09-03,,,,,2019-11-12,,,,,70,5,5,,132,,,,,,,144
735,TAK-831-1005,TAK-831,"A Randomized, Double-Blind, Placebo-Controlled, Phase 1 Study to Evaluate Safety, Tolerability, and Pharmacokinetics of Escalating Multiple Doses of TAK-831 in Healthy Subjects",I,Closed,NS,48,50,126,0,76,50,3,104.17%,1,0,0,PRA,0,,2017-05-31,2017-06-08,,2017-08-03,2017-08-03,,2018-07-13,,2018-09-09,,,,,2018-10-02,,,,,23,5,5,,8,,,0,,,,58
736,Actovegin-3001,Actovegin (deproteinized hemoderivative of calf blood),"A Randomized, Multi-center, Parallel Group, Double-blind, Placebo-controlled Study to Evaluate the Efficacy and Safety of Actovegin 12-Week Treatment Given First Intravenously and Subsequently Orally in Subjects with Peripheral Arterial Occlusive Disease Fontaine Stage IIB",III,All Activities Closed,NonCore,366,366,387,0,21,0,3,100.00%,20,0,0,Atlant,0,,2017-01-18,2017-12-21,,2018-04-30,2018-08-03,,2019-03-05,,2019-08-20,,,,,2019-11-22,,,,,94,5,5,,337,,,95,,,,168
737,VedolizumabSC-1018,Entyvio SC,"A Phase 1, Open-Label, Randomized, Parallel Group Study to Compare the Pharmacokinetics of Single Subcutaneous Injections of Vedolizumab Administered in Prefilled Syringe Versus Prefilled Syringe in Needle Safety Device in Healthy Subjects",I,Closed,GI,102,102,210,0,108,0,1,100.00%,1,0,0,Celerion,0,,,2017-12-18,,2018-02-18,2018-03-16,,2018-04-10,,2018-09-21,,,,,2018-10-05,,,,,14,5,5,,,,,26,,,,164
738,Brigatinib-1001,Alunbrig,"A Phase 1 Drug-Drug Interaction Study Between Brigatinib and the CYP3A Substrate Midazolam
in Patients With ALK-Positive or ROS1-Positive Solid Tumors",I,Recruitment Complete,Oncology,20,24,32,0,8,0,24,120.00%,14,14,0,PRA,0,,2017-09-20,2017-11-14,,,2019-07-04,,2020-02-25,2020-03-25,2020-03-25,,,,,2020-10-12,,,,,201,5,5,,55,,,,,,29,29
739,TIMP-GLIA-5001,TAK-101,Assessment of Immune Activation and Tolerance in Celiac Disease During Gluten Challenge,0,All Activities Closed,GI,20,16,24,0,8,16,2,80.00%,2,0,0,PRA,0,,2017-08-01,2017-10-11,,2018-04-24,2018-06-25,,2019-03-20,,2019-04-29,,,,,2019-09-20,,,,,144,5,5,,71,,,62,,,,40
740,Ponatinib-3001,Iclusig,"A Phase 3, Randomized, Open-label, Multicenter Study Comparing Ponatinib Versus Imatinib, Administered in Combination With Reduced-Intensity Chemotherapy, in Patients With Newly Diagnosed Philadelphia Chromosome–Positive Acute Lymphoblastic Leukemia (Ph+ ALL)",III,Recruiting,Oncology,230,174,246,0,69,174,80,75.65%,120,116,0,PRA,0,,2017-11-14,2018-05-24,,,2019-01-10,,,,2021-02-17,,,,,2021-05-19,,,,,91,5,5,,191,,,,,,,
747,AP24534-10-201,Iclusig,PACE: Phase 2,II,Reported,Oncology,449,244,0,0,0,0,0,54.34%,42,0,0,INC Research,0,,,2010-06-01,,,2010-09-30,,2011-10-31,2015-10-12,2015-10-10,,,,2019-01-17,2017-03-31,,,,2019-03-28,538,5,5,,,,,,,,1442,1440
748,AP24534-11-106,Iclusig,Phase 1/2 Study in Japanese Patients,II,Reported,Oncology,40,0,0,0,0,0,0,0,1,0,0,CMIC,0,,,2012-04-30,,,2012-08-14,,2013-09-30,2015-10-07,2015-11-14,,,,2018-08-02,2014-11-17,,,,2018-10-26,-362,5,5,,,,,,,,737,775
749,AP24534-14-203,Iclusig,OPTIC: Phase 2 CML Efficacy/Safety,II,Recruitment Complete,Oncology,276,283,371,0,92,291,140,102.54%,150,60,0,PRA,0,,,2015-02-02,,,2015-08-06,,2019-05-15,2021-05-15,2019-07-20,2020-05-31,,,2021-06-15,2019-09-10,2020-12-21,,,,52,5,5,,,,,,,,731,66
752,TAK-653-1003,TAK-653,"A randomized, double blind, placebo-controlled, single dose, cross-over study to evaluate the pharmacodynamic aspects, tolerability and safety of TAK-653 in healthy volunteers assessing responses evoked by transcranial magnetic stimulation (TMS).",I,All Activities Closed,NS,24,24,24,0,0,0,0,100.00%,1,0,0,PRA,0,,2018-10-19,2018-11-26,,2019-01-21,2019-02-11,,2019-05-30,,2019-06-14,,,,,2019-07-15,,,,,31,5,5,,38,,,21,,,,15
753,TBD-1-30EP0F,TAK-418,BCH KS Natural Chip Seq,0,Terminated,NS,40,0,0,0,0,0,0,0,1,0,0,TBD,0,,2018-06-08,2018-08-06,,2018-10-29,2018-11-14,,2019-02-06,,2019-02-07,,,,,2019-02-26,,,,,19,5,5,,59,,,16,,,,1
765,TAK-994-1001,TAK-994,"A Combined Single Rising Dose and  Multiple Rising Dose Study to Access the Safety, Tolerability, Pharmacodynamics and Pharmacodynamics  of TAK-994 in Normal Healthy Volunteers and Patients with Narcolepsy",I,Completed,NS,160,121,354,0,234,0,3,75.63%,2,0,0,PRA,0,,2019-02-04,2019-03-18,,2019-05-01,2019-05-22,,2020-03-04,,2020-03-29,,,,,2020-06-24,,,,,87,5,5,,42,,,21,,,,25
828,TAK-954-1009,TAK-954,"A Double-Blind, Placebo-Controlled, Multiple Ascending, 3 Period, Incomplete Block Design Trial to Investigate the Safety, Tolerability and Pharmacokinetics of TAK 954 Administered as a 60-minute IV Infusion to Healthy Adult Participants",I,Closed,GI,6,6,18,0,0,0,0,100.00%,1,0,0,Celerion,0,,2018-12-16,2019-02-04,,2019-03-06,2019-03-24,,2019-03-24,,2019-05-12,,,,,2019-06-14,,,,,33,5,5,,50,,,18,,,,49
839,TAK-925-1009,TAK-925,"An Open-Label, Trial to Evaluate the Effect of the Cobicistat on two Single-Doses Pharmacokinetics of Oral TAK-925 in Healthy Adult Subjects",I,All Activities Closed,NS,16,16,54,0,0,0,0,100.00%,1,0,0,Celerion,0,,2019-06-25,2019-08-16,,2019-10-11,2019-10-11,,2019-11-12,,2019-12-03,,,,,2020-01-24,,,,,52,5,5,,52,,,0,,,,21
853,MT203-2004,MT203,A Phase 2 Exploratory Study of Namilumab vs Anti-Tumor Necrosis Factor in Patients With Early Rheumatoid Arthritis Inadequately Responding to Methotrexate,II,Terminated,NonCore,36,7,0,0,8,0,0,19.44%,15,0,0,IQVIA,0,,2014-06-19,2014-08-18,,2015-04-08,2015-04-29,,2016-01-14,,2016-11-01,,,,,2016-12-19,,,,,48,5,5,,60,,,21,,,,292
877,AP24534-15-303,Iclusig,OPTIC-2L: Phase 3 Ponatinib vs Nilotinib,III,Recruitment Complete,Oncology,44,44,60,0,16,0,3,100.00%,90,0,0,INC Research,0,,,2015-10-12,,2016-01-28,2016-02-11,,2017-10-24,2018-10-23,2020-11-26,,,,,2021-03-22,,,,,116,5,5,,,,,14,,,364,1129
880,TAK-788-1005,Mobocertinib (TAK-788),"A Phase 1, Randomized, 2-Period, 2-Sequence, Crossover Study to Evaluate the Effect of High-Fat Meal on TAK-788 Pharmacokinetics in Healthy Adult Subjects",I,Reported,Oncology,14,14,25,0,9,0,0,100.00%,1,0,0,Celerion,0,,2019-09-10,2020-06-10,,,2020-07-01,,2020-07-01,2020-07-21,2020-07-21,,,,,2020-09-14,,,,,55,5,5,,274,,,,,,20,20
881,TAK-788-1002,Mobocertinib (TAK-788),Human ADME – Absolute BA,I,Completed,Oncology,6,7,18,0,0,0,0,116.67%,1,0,0,Celerion,0,,2018-07-13,2018-12-19,,,2019-01-31,,2019-02-01,2019-03-11,2019-03-11,,,,,2019-08-15,,,,,157,5,5,,159,,,,,,38,38
883,TAK-788-1004,Mobocertinib (TAK-788),Induction w/ Sensitive CYP3A Substrate,I,Recruitment Complete,Oncology,26,26,36,0,10,0,23,100.00%,8,0,0,PRA,0,,2018-11-16,2019-02-18,,,2020-01-06,,2020-11-16,,2020-12-17,,,,,2021-03-15,,,,,88,5,5,,94,,,,,,,31
