Trial Id,Protocol #,fmt_Protocol#,Legacy Protocol ID,Product Name,Full Title,Short Title,Protocol Phase ,Protocol Status,Indication,Therapeutic Area,Operational TA,Registry,Pediatric / Non-Pediatric,Study Type,Study Design: Primary Purpose (Interventional),Study Design: Time Perspective (Observational),Study Design: Study Model (Observational),Planned Enrollment,Actual Enrollment,Actual Screened,Actual Rescreened,Actual Screen Failure,Actual Randomized / Dosed,Actual Early Terminated,% Enrollment Completed,Planned Sites,Active Sites,Legacy Company,CRO,COM/CPOM,Primary Contact,Medical Monitor,COPL/POOL,Study Site Engagement,EudraCT#,Expanded Access Availability / Status,Human Subjects Protection Review Board Status,Study Imposed by EMA Flag,Device/Product Not Approved or Cleared by US FDA,Wave,Prioritization,Tier Category,Source CTMS,Planned Primary Study Completion Date,Actual Primary Study Completion Date,Synopsis Planned Date,Synopsis Actual Date,Protocol Planned Date,Protocol Actual Date,First Site Activated Planned Date,First Site Activated Actual Date,FSS Planned Date,FSS Actual Date,FSI Planned Date,FSI Actual Date,FSFV Planned Date,FSFV Actual Date,LSI Planned Date,LSI Actual Date,LSI Avg Tx  Planned Date,LSI Avg Tx Actual Date,LSO Planned Date,LSO Actual Date,LSO 2 Planned Date,LSO 2 Actual Date,LSO 3 Planned Date,LSO 3 Actual Date,LSO 4 Planned Date,LSO 4 Actual Date,LSO Final Planned Date,LSO Final Actual Date,LSLV Planned Date,LSLV Actual Date,DBL Planned Date,DBL Actual Date,DBL 2  Planned Date,DBL 2 Actual Date,DBL 3 Planned Date,DBL 3  Actual Date,DBL 4 Planned Date,DBL 4 Actual Date,DBL Final Planned Date,DBL Final Actual Date,KA/Flash Planned Date,KA/Flash Actual Date,KA 2 10601 Planned Date,KA 2 Actual Date,KA 3 Planned Date,KA 3 Actual Date,KA 4  Planned Date,KA 4 Actual Date,KA Final  Planned Date,KA Final Actual Date,Topline Planned Date,Topline Actual Date,TFL Planned Date,TFL Actual Date,TLF Planned Date,TLF Actual Date,TLF 2 Planned Date,TLF 2 Actual Date,TLF 3 Planned Date,TLF 3 Actual Date,TLF 4 Planned Date,TLF 4 Actual Date,TLF Final Planned Date,TLF Final Actual Date,CSR Planned Date,CSR Actual Date,CSR 2  Planned Date,CSR 2  Actual Date,CSR 3  Planned Date,CSR 3 Actual Date,CSR 4 Planned Date,CSR 4 Actual Date,CSR Final Planned Date,CSR Final Actual Date,OA 1 Planned Date,OA 1 Actual Date,OA 2 Planned Date,OA 2 Actual Date,OA 3 Planned Date,OA 3 Actual Date,Trial Summary Planned Date,Trial Summary Actual Date,Oversight Needs Assessment Planned Date,Oversight Needs Assessment Actual Date,CDO Quality Risk Assessment Planned Date,CDO Quality Risk Assessment Actual Date,Primary Planned Date,Primary Actual Date
1-26UPEN,TBD-1-26UPEN,'TBD-1-26UPEN,,TAK-522,Phase 2/3 NSCLC Pivotal vs Docetaxel,,II/III,Cancelled,Solid.Lung.NSCLC,Oncology,,,,,,,,454,0,0,,0,,0,0.00%,1,,,,,,,,,,,,,,,,,STARS Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-26UPEW,AP24534-07-101,'AP24534-07-101,,Iclusig,A Phase 1 Dose Escalation/Safety,A Ph 1 Dose Escalation/Safety,I,Closed,Heme.Other,Oncology,,,,,,,,81,0,0,,0,,0,0.00%,1,,,,,,,,,,,,,,NA,Advance,,STARS Inactive,,,,,1/31/2008,1/31/2008,,,,,5/31/2008,5/31/2008,,,11/18/2009,11/18/2009,8/16/2010,8/16/2010,,,,,,,,,,,,,5/31/2016,5/31/2016,,,,,,,,,2/16/2010,2/16/2010,,,,,,,,,,,,,,,,,,,,,,,1/8/2016,1/8/2016,,,,,,,5/30/2017,5/30/2017,,,,,,,5/30/2017,5/30/2017,,,,,,
1-26UPF5,AP24534-10-201,'AP24534-10-201,,Iclusig,PACE: Phase 2,PACE: Ph 2,II,Reported,(CML) Chronic myeloid leukemia,Oncology,Late Oncology,,,,,,,449,244,,,,,,54.34%,42,,,INC Research,,Gina Gualtiere,,,,2010-020414-28,,,,,NA,Advance,,Medidata CTMS (Pharma),,,,,6/1/2010,6/1/2010,,,,,9/30/2010,9/30/2010,,,10/31/2011,10/31/2011,10/12/2015,10/12/2015,10/10/2015,10/10/2015,,,,,,,1/17/2019,1/17/2019,,,3/31/2017,3/31/2017,,,,,,,3/28/2019,3/28/2019,4/28/2017,4/28/2017,,,,,,,,,,,,,5/8/2017,5/8/2017,,,,,,,,,8/31/2017,8/31/2017,,,,,,,5/27/2020,5/27/2020,,,,,,,5/27/2020,5/27/2020,,,,,,
1-26UPFL,AP24534-11-106,'AP24534-11-106,,Iclusig,Phase 1/2 Study in Japanese Patients,Ph 1/2 Study in Japanese Patients,II,Reported,(CML) Chronic myeloid leukemia,Oncology,Late Oncology,,,,,,,40,,,,,,,,1,,,CMIC,,Oluchi Adedoyin,,,,,,,,,NA,Advance,,Medidata CTMS (Pharma),,,,,4/30/2012,4/30/2012,,,,,8/14/2012,8/14/2012,,,9/30/2013,9/30/2013,10/7/2015,10/7/2015,11/14/2015,11/14/2015,,,,,,,8/2/2018,8/2/2018,,,11/17/2014,11/17/2014,,,,,,,10/26/2018,10/26/2018,5/23/2014,5/23/2014,,,,,,,5/23/2014,5/23/2014,,,,,,,,,,,,,8/10/2020,8/10/2020,6/30/2015,6/30/2015,,,,,,,10/19/2020,10/19/2020,,,,,,,10/19/2020,10/19/2020,,,,,,
1-26UPFW,AP24534-14-203,'AP24534-14-203,,Iclusig,OPTIC: Phase 2 CML Efficacy/Safety,OPTIC: Ph 2 CML Efficacy/Safety,II,Recruitment Complete,"Prevention of AGE caused by norovirus, at risk over 5 years old",Oncology,Late Oncology,,,,,,,276,283,371,,92,291,140,102.54%,150,60,,PRA,,"Gina Gualtiere, Oluchi Adedoyin",,,,,,,,,NA,Advance,,Medidata CTMS (Pharma),,,,,2/2/2015,2/2/2015,,,,,8/6/2015,8/6/2015,,,5/15/2019,5/15/2019,5/15/2021,5/15/2021,7/20/2019,7/20/2019,5/31/2020,5/31/2020,,,,,6/15/2021,6/15/2021,,,9/10/2019,9/10/2019,12/21/2020,12/21/2020,,,,,7/31/2021,,9/20/2019,9/20/2019,1/6/2021,1/6/2021,,,,,8/7/2021,,,,,,4/1/2020,4/1/2020,2/17/2021,2/17/2021,,,,,8/28/2021,,4/24/2020,4/24/2020,5/21/2021,5/21/2021,,,,,1/7/2022,,,,,,,,12/1/2022,,,,,,,
1-30EDQR,TAK-831-2003,'TAK-831-2003,,TAK-831,Essential Tremor POC,Essential Tremor,II,Withdrawn,Friedreich's ataxia,NS,,,,,,,,30,,,,,,,,1,,,PRA,,,,,,,,,,,,,,Medidata CTMS (Pharma),,,12/4/2018,12/4/2018,2/25/2019,2/25/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/27/2019,3/27/2019,,,,,,
1-30EDS3,TAK-925-1004,'TAK-925-1004,,,"A Phase 1B ,Randomized, Double Blind, Placebo Controlled Study Utilizing Continuous EEG to Evaluate TAK-925 in TN1 & TN2 Narcolepsy and Idiopathic Hypersomnia Patients",Phase 1B Continuous EEG Study Evaluating TAK-925 i,IB,Cancelled,Other,,,,,,,,,15,15,,,,,,100.00%,1,,,,,,,,,,,,,,,,,STARS Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-30EE6J,TAK-653-1003,'TAK-653-1003,,TAK-653,"A randomized, double blind, placebo-controlled, single dose, cross-over study to evaluate the pharmacodynamic aspects, tolerability and safety of TAK-653 in healthy volunteers assessing responses evoked by transcranial magnetic stimulation (TMS).",TAK-653 in HVT assessing TMS,I,All Activities Closed,(TRD) Treatment Resistance to Depression,NS,,,,,,,,24,24,24,,,,,100.00%,1,,,PRA,,,,,,,,,,,Wave 2,De-Risk,,Medidata CTMS (Pharma),,,10/19/2018,10/19/2018,11/26/2018,11/26/2018,,,1/21/2019,1/21/2019,2/11/2019,2/11/2019,,,5/30/2019,5/30/2019,,,6/14/2019,6/14/2019,,,,,,,,,,,7/15/2019,7/15/2019,,,,,,,,,7/22/2019,7/22/2019,,,,,,,,,,,,,8/14/2019,8/14/2019,,,,,,,,,2/11/2020,2/11/2020,,,,,,,,,,,,,,,2/11/2020,2/11/2020,,,,,,
1-30EP0F,TBD-1-30EP0F,'TBD-1-30EP0F,,TAK-418,BCH KS Natural Chip Seq,Takeda Boston Children's Biomarker Study,0,Terminated,Kabuki Syndrome,NS,,,,,,,,40,,,,,,,,1,,,TBD,,"Michael Stieber, Nancy Goodman",,,,,,,,,,,,Medidata CTMS (Pharma),,,6/8/2018,6/8/2018,8/6/2018,8/6/2018,,,10/29/2018,10/29/2018,11/14/2018,11/14/2018,,,2/6/2019,2/6/2019,,,2/7/2019,2/7/2019,,,,,,,,,,,2/26/2019,2/26/2019,,,,,,,,,3/12/2019,3/12/2019,,,,,,,,,,,,,,,,,,,,,,,8/20/2019,8/20/2019,,,,,,,,,,,,,,,8/20/2019,8/20/2019,,,,,,
1-30LDV9,TAK-071-2002,'TAK-071-2002,,TAK-071,"A Randomized, Double-blind, Placebo-Controlled, 2-Period Crossover, Phase 2 Study to Evaluate the Efficacy, Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of Oral TAK-071 in Parkinson Disease Patients With Cognitive Impairment and an Elevated Risk of Falls",ePOC PD Gait,II,Recruiting,(HH) Male hypogonadotropic hypogonadism,NS,Late NS,,,Interventional,Treatment,,,74,16,0,,0,0,1,21.62%,20,20,,PPD,,Eric Henricks,,,,,,,,,Wave 2,De-Risk,,Medidata CTMS (Pharma),,,11/22/2019,11/22/2019,3/23/2020,3/23/2020,,,10/20/2020,10/20/2020,11/30/2020,11/30/2020,,,6/7/2022,,,,11/1/2022,,,,,,,,,,,,12/6/2022,,,,,,,,,,12/13/2022,,,,,,,,,,,,,,2/14/2023,,,,,,,,,,4/25/2023,,,,,,,,,,,,,,,,4/25/2023,,,,,,,
1-30LDVL,TAK-951-1002,'TAK-951-1002,,TAK-951,"A Randomized, Double-Blind, Placebo-Controlled, One-Part Phase 1 Study to Evaluate the Safety, Tolerability, and Pharmacodynamics of TAK 951 in Healthy Subjects in the setting of a glucose clamp",Glucose Clamp study,I,Cancelled,Normal Healthy Volunteer,GI,,,,,,,,24,0,0,,0,,0,0.00%,1,,,PRA,,,,,,,,,,,Wave 2,Accelerate,,STARS Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-31OP17,TBD-1-31OP17,'TBD-1-31OP17,,TAK-831,Cognitive Impairment in MDD,Cognitive Impairment in MDD,II,Cancelled,00149 Schizophrenia,NS,,,,,,,,70,0,0,,0,,0,0.00%,12,,,,,,,,,,,,,,Wave 2,De-Risk,,STARS Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-32C6FX,TAK-951-2001,'TAK-951-2001,,TAK-951,PONV POC,PONV POC,IIa,Recruiting,Post-operative Nausea Vomiting (PONV),GI,Early GI,,,,,,,100,65,0,,0,0,0,65.00%,5,10,,PPD,,Veronique Copalu,,,,,,,,,,,Wave 2/Acc,Medidata CTMS (Pharma),,,12/13/2019,12/13/2019,6/24/2020,6/24/2020,,,10/20/2020,10/20/2020,10/23/2020,10/23/2020,,,11/1/2021,,,,11/15/2021,,,,,,,,,,,,12/29/2021,,,,,,,,,,8/6/2021,,,,,,,,1/14/2022,,,,,,1/26/2022,,,,,,,,,,5/18/2022,,,,,,,,,,,,,,,,5/18/2022,,,,,,,
1-32C6HB,TBD-1-32C6HB,'TBD-1-32C6HB,,TAK-951,Adult/Adolescent CVS treatment pivotal trial 1,Adult/Adolescent CVS treatment pivotal trial 1,III,Planned,Cyclic Vomiting Syndrome-Prodrome,GI,,,,,,,,500,,,,,,,,1,,,TBD,,,,,,,,,,,Wave 2,Accelerate,,Medidata CTMS (Pharma),,,10/29/2024,,8/19/2025,,,,11/25/2025,,12/23/2025,,,,9/29/2026,,,,3/16/2027,,,,,,,,,,,,5/11/2027,,,,,,,,,,5/25/2027,,,,,,,,,,,,,,,,,,,,,,,,8/31/2027,,,,,,,,,,,,,,,,3/14/2028,,,,,,,
1-32C6HM,TBD-1-32C6HM,'TBD-1-32C6HM,,TAK-951,Adult/Adolescent CVS treatment pivotal trial 2,Adult/Adolescent CVS treatment pivotal trial 2,III,Planned,Cyclic Vomiting Syndrome-Prodrome,GI,,,,,,,,500,,,,,,,,1,,,TBD,,,,,,,,,,,Wave 2,Accelerate,,Medidata CTMS (Pharma),,,10/29/2024,,8/19/2025,,,,11/25/2025,,12/23/2025,,,,9/29/2026,,,,3/16/2027,,,,,,,,,,,,5/11/2027,,,,,,,,,,5/25/2027,,,,,,,,,,,,,,,,,,,,,,,,8/31/2027,,,,,,,,,,,,,,,,3/14/2028,,,,,,,
1-32C6R5,Darvadstrocel-3004,'Darvadstrocel-3004,,Alofisel,Darvadstrocel in the treatment of complex perianal fistula in pediatric crohn’s disease patients.,Change to ‘efficacy and safety of darvadstrocel in,III,Not Yet Recruiting,Complex Perianal Fistulas,GI,Late GI,,,,,,,20,,,,,,,,20,,,IQVIA,,Jennifer Gillespie,,,,,,,,,NA,Advance,,Medidata CTMS (Pharma),,,12/19/2019,12/19/2019,6/24/2020,6/24/2020,,,6/30/2021,6/30/2021,7/30/2021,,,,5/1/2023,,,,4/30/2024,,,,,,,,,,,,5/29/2024,,,,,,,,,,6/4/2024,,,,,,,,,,,,,,6/26/2024,,,,,,,,,,10/24/2024,,,,,,,,,,,,,,,,4/29/2025,,,,,,,
1-32C60I,TBD-1-32C60I,'TBD-1-32C60I,,TAK-039,Global ePOC,P2a Global ePOC,IIA,Cancelled,00020 (UC) Ulcerative colitis,GI,,,,,,,,100,0,0,,0,,0,0.00%,1,,,,,,,,,,,,,,Wave 2,De-Risk,,STARS Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-32C60R,TBD-1-32C60R,'TBD-1-32C60R,,TAK-039,Global phase 3,Ph3 study,III,Cancelled,Hepatic Encephalopathy (HE),GI,,,,,,,,600,,,,,,,,1,,,TBD,,,,,,,,,,,Wave 2,De-Risk,,Medidata CTMS (Pharma),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-32C609,TBD-1-32C609,'TBD-1-32C609,,TAK-039,UC POM/ePOC study,Ph1b UC POM/ePOC,IB,Cancelled,00020 (UC) Ulcerative colitis,GI,,,,,,,,30,0,0,,0,,0,0.00%,1,,,,,,,,,,,,,,Wave 2,De-Risk,,STARS Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-32PVRW,VedolizumabSC-1024,'VedolizumabSC-1024,,Entyvio SC,Vedolizumab jet injector BE study,Human PK Study - 1024,I,Planned,(CD/UC) Crohn's disease/ Ulcerative colitis,GI,Late GI,,,,,,,160,,,,,,,,2,,,Celerion,,Katie Savage,,,,,,,,,NA,Advance,,Medidata CTMS (Pharma),,,6/5/2019,6/5/2019,9/23/2019,9/23/2019,,,1/6/2022,,1/6/2022,,,,2/9/2022,,,,6/16/2022,,,,,,,,,,,,7/21/2022,,,,,,,,,,8/5/2022,,,,,,,,,,,,,,9/28/2022,,,,,,,,,,10/26/2022,,,,,,,,,,,,,,,,11/23/2022,,,,,,,
1-32PVS7,TAK-994-1001,'TAK-994-1001,,TAK-994,"A Combined Single Rising Dose and  Multiple Rising Dose Study to Access the Safety, Tolerability, Pharmacodynamics and Pharmacodynamics  of TAK-994 in Normal Healthy Volunteers and Patients with Narcolepsy",TAK-994 SRD and MRD Study in NHVs and Narcoplesy p,I,Completed,Sleep Disorders,NS,Early NS,,,,,,,160,121,354,,234,,3,75.63%,2,,,PRA,,Anne Crissey,,,,,,,,,Wave 1,Accelerate,,Medidata CTMS (Pharma),,,2/4/2019,2/4/2019,3/18/2019,3/18/2019,,,5/1/2019,5/1/2019,5/22/2019,5/22/2019,,,3/4/2020,3/4/2020,,,3/29/2020,3/29/2020,,,,,,,,,,,6/24/2020,6/24/2020,,,,,,,,,7/11/2020,7/11/2020,,,,,,,,,,,,,8/6/2020,8/6/2020,,,,,,,,,12/10/2020,12/10/2020,,,,,,,,,,,,,,,3/26/2021,,,,,,,
1-32PVSK,TAK-169-1001,'TAK-169-1001,,TAK-169,Ph1 Dose Escalation/Expansion,Ph1 Dose Esc/Expansion,I,Recruiting,Multiple cancer,Oncology,Early Oncology,,,,,,,102,4,7,,2,,4,3.92%,10,3,,PRA,,"Lorraine Mehltretter, Katie Kinney",,,,,,,,,,,,Medidata CTMS (Pharma),,,12/13/2018,12/13/2018,5/8/2019,5/8/2019,,,,,2/18/2020,2/18/2020,,,9/4/2023,,3/3/2024,,9/3/2024,,,,,,,,,,,,11/1/2024,,,,,,,,,,2/14/2023,,11/7/2024,,,,,,,,,,,,12/1/2024,,,,,,,,,,1/1/2025,,,,,,,,,,,,,,,,1/1/2025,,,,,,,
1-32PVSU,TBD-1-32PVSU,'TBD-1-32PVSU,,TAK-169,Relative Bioavailability,Relative Bioavailability TAK-169,I,Planned,Multiple cancer,Oncology,,,,,,,,20,,,,,,,,1,,,TBD,,,,,,,,,,,,,,Medidata CTMS (Pharma),,,6/27/2023,,8/5/2023,,,,,,12/3/2023,,,,11/27/2024,,4/26/2025,,4/26/2025,,,,,,,,,,,,5/26/2025,,,,,,,,,,6/2/2025,,,,,,,,,,,,,,6/20/2025,,,,,,,,,,1/12/2026,,,,,,,,,,,,,,,,1/12/2026,,,,,,,
1-32PVTA,TBD-1-32PVTA,'TBD-1-32PVTA,,TAK-169,Ind.1 - 1st Ph1b/2 Randomized,Ph 2 MM SA,II,Planned,Multiple cancer,Oncology,Early Oncology,,,,,,,110,,,,,,,,1,,,TBD,,,,,,,,,,,,,,Medidata CTMS (Pharma),,,5/2/2022,,6/23/2022,,,,,,11/25/2022,,,,5/18/2024,,5/13/2025,,5/13/2025,,,,,,,,,,,,7/15/2025,,,,,,,,,,7/22/2025,,,,,,,,,,,,,,8/11/2025,,,,,,,,,,12/22/2025,,,,,,,,,,11/14/2024,,,,,,12/22/2025,,,,,,,
1-33DTPV,TBD-1-33DTPV,'TBD-1-33DTPV,,TAK-169,Ph1b/2 Combo Single Arm,Ph1b/2 Combo Single Arm TAK-169,II,Planned,Multiple cancer,Oncology,Early Oncology,,,,,,,70,,,,,,,,1,,,TBD,,,,,,,,,,,,,,Medidata CTMS (Pharma),,,12/20/2022,,1/3/2023,,,,,,6/2/2023,,,,8/25/2024,,5/22/2025,,5/22/2025,,,,,,,,,,,,6/21/2025,,,,,,,,,,6/28/2025,,,,,,,,,,,,,,7/17/2025,,,,,,,,,,11/29/2025,,,,,,,,,,,,,,,,11/29/2025,,,,,,,
1-33DTQ5,TBD-1-33DTQ5,'TBD-1-33DTQ5,,TAK-169,Ph1 SA Safety/PK-J&A TAK-169,Ph1 SA Safety/PK-J&A TAK-169,I,Planned,Multiple cancer,Oncology,Early Oncology,,,,,,,30,,,,,,,,1,,,TBD,,,,,,,,,,,,,,Medidata CTMS (Pharma),,,12/9/2022,,10/17/2021,,,,,,2/14/2022,,,,11/11/2022,,5/10/2023,,5/10/2023,,,,,,,,,,,,6/9/2023,,,,,,,,,,6/16/2023,,,,,,,,,,,,,,7/6/2023,,,,,,,,,,11/17/2023,,,,,,,,,,,,,,,,11/17/2023,,,,,,,
1-33DTU5,TBD-1-33DTU5,'TBD-1-33DTU5,,TAK-169,Ind.1- 2nd Ph1b/2 Randomized,TBD-1-33DTU5 Ind.1-2nd Ph1b/2 Randomized,II,Planned,Multiple cancer,Oncology,,,,,,,,150,,,,,,,,1,,,TBD,,,,,,,,,,,,,,Medidata CTMS (Pharma),,,7/29/2022,,9/21/2022,,,,,,2/23/2023,,,,2/12/2025,,2/7/2026,,2/7/2026,,,,,,,,,,,,4/11/2026,,,,,,,,,,4/18/2026,,,,,,,,,,,,,,5/7/2026,,,,,,,,,,9/17/2026,,,,,,,,,,8/11/2025,,,,,,9/17/2026,,,,,,,
1-33DTUF,TBD-1-33DTUF,'TBD-1-33DTUF,,TAK-169,Ph1 Food Effect,Ph1 Food Effect,I,Planned,,Oncology,,,,,,,,20,,,,,,,,1,,,TBD,,,,,,,,,,,,,,Medidata CTMS (Pharma),,,5/27/2026,,7/7/2026,,,,,,10/5/2026,,,,3/4/2027,,6/2/2027,,6/2/2027,,,,,,,,,,,,7/2/2027,,,,,,,,,,7/9/2027,,,,,,,,,,,,,,7/29/2027,,,,,,,,,,12/10/2027,,,,,,,,,,,,,,,,12/10/2027,,,,,,,
1-33DTUY,TBD-1-33DTUY,'TBD-1-33DTUY,,TAK-169,Human ADME,Human ADME TAK-169,I,Planned,,Oncology,,,,,,,,6,,,,,,,,1,,,TBD,,,,,,,,,,,,,,Medidata CTMS (Pharma),,,6/6/2024,,7/17/2024,,,,,,11/14/2024,,,,5/13/2025,,2/7/2026,,2/7/2026,,,,,,,,,,,,3/9/2026,,,,,,,,,,3/16/2026,,,,,,,,,,,,,,4/3/2026,,,,,,,,,,10/26/2026,,,,,,,,,,,,,,,,10/26/2026,,,,,,,
1-33DTVH,TBD-1-33DTVH,'TBD-1-33DTVH,,TAK-169,QT Study,QT Study TAK-169,I,Planned,,Oncology,,,,,,,,40,,,,,,,,1,,,TBD,,,,,,,,,,,,,,Medidata CTMS (Pharma),,,10/29/2025,,12/9/2025,,,,,,4/8/2026,,,,7/2/2027,,3/28/2028,,3/28/2028,,,,,,,,,,,,4/27/2028,,,,,,,,,,5/4/2028,,,,,,,,,,,,,,5/24/2028,,,,,,,,,,12/14/2028,,,,,,,,,,,,,,,,12/14/2028,,,,,,,
1-33DTVQ,TBD-1-33DTVQ,'TBD-1-33DTVQ,,TAK-169,DDI #1,DDI #1 TAK-169,I,Planned,,Oncology,,,,,,,,30,,,,,,,,1,,,TBD,,,,,,,,,,,,,,Medidata CTMS (Pharma),,,6/6/2024,,7/17/2024,,,,,,11/14/2024,,,,2/7/2026,,5/8/2026,,5/8/2026,,,,,,,,,,,,6/7/2026,,,,,,,,,,6/14/2026,,,,,,,,,,,,,,7/2/2026,,,,,,,,,,1/24/2027,,,,,,,,,,,,,,,,1/24/2027,,,,,,,
1-33DTVZ,TBD-1-33DTVZ,'TBD-1-33DTVZ,,TAK-169,DDI #2,DDI #2 TAK-169,I,Planned,,Oncology,,,,,,,,30,,,,,,,,1,,,TBD,,,,,,,,,,,,,,Medidata CTMS (Pharma),,,4/28/2026,,6/7/2026,,,,,,10/5/2026,,,,12/29/2027,,3/28/2028,,3/28/2028,,,,,,,,,,,,4/27/2028,,,,,,,,,,5/4/2028,,,,,,,,,,,,,,5/24/2028,,,,,,,,,,12/14/2028,,,,,,,,,,,,,,,,12/14/2028,,,,,,,
1-33DTW8,TBD-1-33DTW8,'TBD-1-33DTW8,,TAK-169,Ind.1- First Ph3,Ind.1- First Ph3,III,Planned,,Oncology,,,,,,,,400,,,,,,,,1,,,TBD,,,,,,,,,,,,,,Medidata CTMS (Pharma),,,7/17/2025,,9/10/2025,,,,,,1/8/2026,,,,12/29/2027,,9/14/2030,,9/14/2030,,,,,,,,,,,,10/12/2030,,,,,,,,,,11/9/2030,,,,,,,,,,,,,,11/7/2030,,,,,,,,,,3/1/2031,,,,,,,,,,,,,,,,3/1/2031,,,,,,,
1-33DTWI,TBD-1-33DTWI,'TBD-1-33DTWI,,TAK-169,Ind.1- Second Ph3,Ind.1- Second Ph3,III,Planned,,Oncology,,,,,,,,400,,,,,,,,1,,,TBD,,,,,,,,,,,,,,Medidata CTMS (Pharma),,,7/13/2026,,9/5/2026,,,,,,1/3/2027,,,,12/23/2028,,9/9/2031,,9/9/2031,,,,,,,,,,,,10/7/2031,,,,,,,,,,11/4/2031,,,,,,,,,,,,,,11/3/2031,,,,,,,,,,2/24/2032,,,,,,,,,,,,,,,,2/24/2032,,,,,,,
1-33DTWR,TBD-1-33DTWR,'TBD-1-33DTWR,,TAK-169,Renal Impairment,Renal Impairment TAK-169,I,Planned,,Oncology,,,,,,,,60,,,,,,,,1,,,TBD,,,,,,,,,,,,,,Medidata CTMS (Pharma),,,4/22/2027,,6/2/2027,,,,,,9/30/2027,,,,9/19/2029,,9/14/2030,,9/14/2030,,,,,,,,,,,,10/14/2030,,,,,,,,,,10/21/2030,,,,,,,,,,,,,,11/8/2030,,,,,,,,,,6/2/2031,,,,,,,,,,,,,,,,6/2/2031,,,,,,,
1-33DTX0,TBD-1-33DTX0,'TBD-1-33DTX0,,TAK-169,Hepatic Impairment,Hepatic Impairment TAK-169,I,Planned,,Oncology,,,,,,,,70,,,,,,,,1,,,TBD,,,,,,,,,,,,,,Medidata CTMS (Pharma),,,4/22/2027,,6/2/2027,,,,,,9/30/2027,,,,9/19/2029,,9/14/2030,,9/14/2030,,,,,,,,,,,,10/9/2031,,,,,,,,,,10/16/2031,,,,,,,,,,,,,,11/5/2031,,,,,,,,,,5/27/2032,,,,,,,,,,,,,,,,5/27/2032,,,,,,,
1-33DTX9,TBD-1-33DTX9,'TBD-1-33DTX9,,TAK-169,Ind.2 - 1st Ph1b/2 Randomized,Ind.2 - 1st Ph1b/2 Randomized,II,Planned,,Oncology,,,,,,,,150,,,,,,,,1,,,TBD,,,,,,,,,,,,,,Medidata CTMS (Pharma),,,9/22/2023,,11/15/2023,,,,,,4/18/2024,,,,3/9/2026,,6/2/2027,,6/2/2027,,,,,,,,,,,,7/2/2027,,,,,,,,,,7/9/2027,,,,,,,,,,,,,,7/29/2027,,,,,,,,,,12/10/2027,,,,,,,,,,,,,,,,12/10/2027,,,,,,,
1-33DTXI,TBD-1-33DTXI,'TBD-1-33DTXI,,TAK-169,Ind.2 - 2nd Ph1b/2 Randomized,Ind.2 - 2nd Ph1b/2 Randomized,II,Planned,,Oncology,,,,,,,,150,,,,,,,,1,,,TBD,,,,,,,,,,,,,,Medidata CTMS (Pharma),,,3/20/2024,,5/13/2024,,,,,,10/15/2024,,,,9/5/2026,,11/29/2027,,11/29/2027,,,,,,,,,,,,12/29/2027,,,,,,,,,,1/5/2028,,,,,,,,,,,,,,1/25/2028,,,,,,,,,,6/7/2028,,,,,,,,,,,,,,,,6/7/2028,,,,,,,
1-33DTXR,TBD-1-33DTXR,'TBD-1-33DTXR,,TAK-169,Ind.2 - 1st Phase 3,Ind.2 - 1st Phase 3,III,Planned,,Oncology,,,,,,,,400,,,,,,,,1,,,TBD,,,,,,,,,,,,,,Medidata CTMS (Pharma),,,5/10/2027,,7/2/2027,,,,,,10/30/2027,,,,10/19/2029,,7/5/2032,,7/5/2032,,,,,,,,,,,,8/2/2032,,,,,,,,,,8/30/2032,,,,,,,,,,,,,,8/27/2032,,,,,,,,,,12/20/2032,,,,,,,,,,,,,,,,12/20/2032,,,,,,,
